COUNTY,NUMBER
Geumcheon-gu,35
Guro-gu,75
Gwanak-gu,115
Dongjak-gu,118
Yangcheon-gu,141
Yeongdeungpo-gu_1_,218
Gangseo-gu,231
Gangdong-gu,247
Songpa-gu,284
Yongsan-gu,341
Seocho-gu,366
Mapo-gu,432
Seodaemun-gu,443
Gwangjin-gu,496
Eunpyeong-gu,516
Gangnam-gu,620
Dobong-gu,700
Jungnang-gu,713
Seongdong-gu,726
Jung-gu,836
Nowon-gu,957
Jongno-gu,1044
Dongdaemun-gu,1330
Gangbuk-gu,1472
Seongbuk-gu,2320
